"NumLic","CodUG","Instituicao","ModComp","Processo","Objeto","Situacao","CodOrgao","NomeOrgao","Municipio","DataCompra","DataLicitacao","Valor","Mes","Ano"
22014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","22802/2013","OBJETO: PREGAO ELETRONICO -  SERVICO DE BUFFET - ALIMENTACAO","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2014-01-29,2014-01-24,20990,"janeiro",2014
22014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","INEXIGIBILIDADE DE LICITACAO","0528/2014","OBJETO: PUBLICACAO - DIVULGACAO DE MATERIA ESCRITA OU ELETRONICA NO DOU.","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2014-01-28,NA,715000,"janeiro",2014
32014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","23092/2013","OBJETO: PREGAO ELETRONICO -  SERVICO DE INFORMATICA NA AREA DE ATUALIZACAO DE CONFIGURACAO COM ACELERACAO DE DESEMPENHO DE APLICACOES WEB.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2014-01-29,2014-01-27,28300,"janeiro",2014
972013,154051,"UNIVERSIDADE FEDERAL DE VICOSA","DISPENSA DE LICITACAO","21062/2013","OBJETO: FORNECIMENTO DE AGUA CANALIZADA PARA O CAMPI DA UFV EM RIO PARANAIBA.","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2014-01-22,NA,30572.64,"janeiro",2014
3632013,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO - REGISTRO DE PRECO","011678/2013","OBJETO: PREGAO ELETRONICO -  CILINDROS HORIZONTAIS DE AQUECIMENTO INDIRETO (BOILERS).","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2014-01-31,2013-11-26,68400,"janeiro",2014
5322013,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","15442/2013","OBJETO: PREGAO ELETRONICO -  CONTRATACAO DE EMPRESA PARA : BUFFET, DECORACAO E VIGILANCIA.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2014-01-03,2013-10-23,6159,"janeiro",2014
5722013,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","23114.016032/2013","OBJETO: PREGAO ELETRONICO -  AQUISICAO DE COMBUSTIVEL, DIRETO DA BOMBA, PARA VEICULOS QUE ATENDEM AO CAMPUS DE RIO PARANAIBA","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2014-01-22,2014-01-07,166140,"janeiro",2014
6122013,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO - REGISTRO DE PRECO","016555/2013","OBJETO: PREGAO ELETRONICO -  CONECTORES, CABOS, EXTENSOES E OUTROS.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2014-01-22,2014-01-13,59997,"janeiro",2014
6692013,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","018056/2013","OBJETO: PREGAO ELETRONICO -  CONTRATACAO DE EMPRESA TERCEIRIZADA PARA PRESTACAO DE SERVICOS DE CONTINUOS E SERVICOS DE PORTARIA.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2014-01-03,2013-12-05,951909.48,"janeiro",2014
6762013,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO - REGISTRO DE PRECO","018393/2013","OBJETO: PREGAO ELETRONICO -  AQUISICAO DE PAPEL HIGIENICO.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2014-01-23,2013-12-17,108800,"janeiro",2014
